city,alpha,beta,w,tour_len,seconds
AISearchfile012.txt,1.0,1.0,0.5,56,0.2
AISearchfile012.txt,1.0,1.0,0.7,56,0.28
AISearchfile012.txt,1.0,1.0,0.9,80,0.52
AISearchfile012.txt,1.0,1.2,0.5,70,0.22
AISearchfile012.txt,1.0,1.2,0.7,56,0.34
AISearchfile012.txt,1.0,1.2,0.9,87,0.56
AISearchfile012.txt,1.0,1.4,0.5,56,0.21
AISearchfile012.txt,1.0,1.4,0.7,56,0.34
AISearchfile012.txt,1.0,1.4,0.9,67,0.53
AISearchfile012.txt,1.0,1.6,0.5,56,0.22
AISearchfile012.txt,1.0,1.6,0.7,77,0.39
AISearchfile012.txt,1.0,1.6,0.9,88,0.62
AISearchfile012.txt,1.0,1.8,0.5,56,0.24
AISearchfile012.txt,1.0,1.8,0.7,67,0.4
AISearchfile012.txt,1.0,1.8,0.9,69,0.64
AISearchfile012.txt,1.0,2.0,0.5,56,0.27
AISearchfile012.txt,1.0,2.0,0.7,61,0.41
AISearchfile012.txt,1.0,2.0,0.9,68,0.65
AISearchfile012.txt,1.2,1.0,0.5,56,0.19
AISearchfile012.txt,1.2,1.0,0.7,56,0.33
AISearchfile012.txt,1.2,1.0,0.9,56,0.53
AISearchfile012.txt,1.2,1.2,0.5,56,0.21
AISearchfile012.txt,1.2,1.2,0.7,56,0.34
AISearchfile012.txt,1.2,1.2,0.9,91,0.58
AISearchfile012.txt,1.2,1.4,0.5,56,0.22
AISearchfile012.txt,1.2,1.4,0.7,67,0.36
AISearchfile012.txt,1.2,1.4,0.9,67,0.55
AISearchfile012.txt,1.2,1.6,0.5,56,0.21
AISearchfile012.txt,1.2,1.6,0.7,67,0.41
AISearchfile012.txt,1.2,1.6,0.9,82,0.62
AISearchfile012.txt,1.2,1.8,0.5,56,0.27
AISearchfile012.txt,1.2,1.8,0.7,70,0.42
AISearchfile012.txt,1.2,1.8,0.9,82,0.64
AISearchfile012.txt,1.2,2.0,0.5,64,0.32
AISearchfile012.txt,1.2,2.0,0.7,79,0.41
AISearchfile012.txt,1.2,2.0,0.9,67,0.65
AISearchfile012.txt,1.4,1.0,0.5,56,0.2
AISearchfile012.txt,1.4,1.0,0.7,56,0.32
AISearchfile012.txt,1.4,1.0,0.9,73,0.57
AISearchfile012.txt,1.4,1.2,0.5,56,0.22
AISearchfile012.txt,1.4,1.2,0.7,73,0.39
AISearchfile012.txt,1.4,1.2,0.9,56,0.58
AISearchfile012.txt,1.4,1.4,0.5,56,0.24
AISearchfile012.txt,1.4,1.4,0.7,56,0.35
AISearchfile012.txt,1.4,1.4,0.9,67,0.6
AISearchfile012.txt,1.4,1.6,0.5,56,0.28
AISearchfile012.txt,1.4,1.6,0.7,66,0.41
AISearchfile012.txt,1.4,1.6,0.9,56,0.63
AISearchfile012.txt,1.4,1.8,0.5,56,0.27
AISearchfile012.txt,1.4,1.8,0.7,81,0.43
AISearchfile012.txt,1.4,1.8,0.9,80,0.65
AISearchfile012.txt,1.4,2.0,0.5,56,0.3
AISearchfile012.txt,1.4,2.0,0.7,74,0.43
AISearchfile012.txt,1.4,2.0,0.9,63,0.74
AISearchfile012.txt,1.6,1.0,0.5,56,0.23
AISearchfile012.txt,1.6,1.0,0.7,62,0.35
AISearchfile012.txt,1.6,1.0,0.9,56,0.53
AISearchfile012.txt,1.6,1.2,0.5,56,0.23
